utt_id,audio_path,label,fold
medley_test_0_0e4371ac-1c6a-51ab-fdb7-f8abd5fbf1a3,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_0e4371ac-1c6a-51ab-fdb7-f8abd5fbf1a3.wav,clarinet,3
medley_test_0_33383119-fd64-59c1-f596-d1a23e8a0eff,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_33383119-fd64-59c1-f596-d1a23e8a0eff.wav,clarinet,3
medley_test_0_b2b7a288-e169-5642-fced-b509c06b11fc,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_b2b7a288-e169-5642-fced-b509c06b11fc.wav,clarinet,3
medley_test_0_151b6ee4-313a-58d9-fbcb-bab73e0d426b,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_151b6ee4-313a-58d9-fbcb-bab73e0d426b.wav,clarinet,3
medley_test_0_b43999d1-9b5e-557f-f9bc-1b3759659858,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_b43999d1-9b5e-557f-f9bc-1b3759659858.wav,clarinet,3
medley_test_0_0e5669a9-9f3c-5fa3-fc80-44dc905d16f2,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_0e5669a9-9f3c-5fa3-fc80-44dc905d16f2.wav,clarinet,3
medley_test_0_3befab3f-a98f-54f1-fb82-9b42d8db3b9b,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_3befab3f-a98f-54f1-fb82-9b42d8db3b9b.wav,clarinet,3
medley_test_0_4952e0ab-8d5f-5f06-fdff-b58a7a69b508,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_4952e0ab-8d5f-5f06-fdff-b58a7a69b508.wav,clarinet,3
medley_test_0_d3e88344-2497-53cc-fcb0-801092440e44,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_d3e88344-2497-53cc-fcb0-801092440e44.wav,clarinet,3
medley_test_0_e2f5ab6f-6383-5fac-f5b7-9314316ab0f5,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_e2f5ab6f-6383-5fac-f5b7-9314316ab0f5.wav,clarinet,3
medley_test_0_ab835a82-1c7b-5898-fc6f-f943cae3942f,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_ab835a82-1c7b-5898-fc6f-f943cae3942f.wav,clarinet,3
medley_test_0_5929eb43-fe79-5825-f12b-5ee99a5e1a38,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_5929eb43-fe79-5825-f12b-5ee99a5e1a38.wav,clarinet,3
medley_test_0_eedc1146-90cc-5407-f572-b71d0207dbd1,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_eedc1146-90cc-5407-f572-b71d0207dbd1.wav,clarinet,3
medley_test_0_bdcc7d1f-d778-57c1-f919-9e8dd1ff2e7d,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_bdcc7d1f-d778-57c1-f919-9e8dd1ff2e7d.wav,clarinet,3
medley_test_0_2520005f-facd-5044-f9a0-81525bf3fe48,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_2520005f-facd-5044-f9a0-81525bf3fe48.wav,clarinet,3
medley_test_0_466713d3-2737-5b2b-f599-dd92241cf10e,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_466713d3-2737-5b2b-f599-dd92241cf10e.wav,clarinet,3
medley_test_0_06c09d70-f855-5cf6-fe2b-5d88dc2d3336,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_06c09d70-f855-5cf6-fe2b-5d88dc2d3336.wav,clarinet,3
medley_test_0_bf3a6c44-1148-59e9-f045-abd881b0ba46,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_bf3a6c44-1148-59e9-f045-abd881b0ba46.wav,clarinet,3
medley_test_0_a0bccd1f-797b-561e-fccd-e872842de7a9,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_a0bccd1f-797b-561e-fccd-e872842de7a9.wav,clarinet,3
medley_test_0_9cd5353e-c8e4-5faa-f7ed-6e87c6c75abb,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_9cd5353e-c8e4-5faa-f7ed-6e87c6c75abb.wav,clarinet,3
medley_test_0_23418aea-130f-5f29-f38b-89568ebccf3e,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_23418aea-130f-5f29-f38b-89568ebccf3e.wav,clarinet,3
medley_test_0_d627592f-1d3a-534f-fef0-a82606760b53,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_d627592f-1d3a-534f-fef0-a82606760b53.wav,clarinet,3
medley_test_0_5b7a5d3f-32bf-53b2-f3ee-864536f99815,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_5b7a5d3f-32bf-53b2-f3ee-864536f99815.wav,clarinet,3
medley_test_0_32450368-9309-5779-fc4b-e12671c10272,/mnt/tmp/datasets/music/medley_solos/Medley-solos-DB_test-0_32450368-9309-5779-fc4b-e12671c10272.wav,clarinet,3
